Sales,Entity
" 41,000,000,000 ",McDonalds
" 21,000,000,000 ",GDP of Afghanistan
" 11,300,000,000 ",Burger King
" 9,400,000,000 ",Wendy's
" 8,200,000,000 ",KFC
" 8,000,000,000 ",Pizza Hut
" 4,300,000,000 ",Taco Bell
" 4,100,000,000 ",Starbucks Coffee
